gridSize,numBlueAgents,numRedAgents,flagPlacementType,ninsts,nblocks
25,9,1,B,12292947,1372796
25,9,1,C,20207772,2264945
25,9,3,A,46155101,5220519
25,9,3,B,15016734,1677365
25,9,3,C,25672578,2881649
25,9,5,A,51667180,5838829
25,9,5,B,18942269,2116145
25,9,5,C,40369165,4543940
25,9,7,A,65253444,7378118
25,9,7,B,20462722,2284212
25,9,7,C,40076568,4507620
25,9,9,A,77853404,8804597
25,9,9,B,25537453,2852334
25,9,9,C,43197872,4845342
30,1,1,A,1946545,207255
30,1,1,B,3254608,353766
30,1,1,C,17460510,1969484
30,1,3,A,10588771,1181738
30,1,3,B,5771011,633433
30,1,3,C,28755500,3241539
30,1,5,A,21418187,2408040
30,1,5,B,5542324,607026
30,1,5,C,20668488,2311179
30,1,7,A,36463431,4109653
30,1,7,B,7253949,798632
30,1,7,C,27509815,3086048
30,1,9,A,61364404,6950636
30,1,9,B,13204487,1468656
30,1,9,C,29644688,3334910
30,3,1,A,7841449,869217
30,3,1,B,5549539,611657
30,3,1,C,27339653,3094290
30,3,3,A,16025179,1791493
30,3,3,B,9644773,1066769
30,3,3,C,42431984,4797792
30,3,5,A,27100309,3045768
30,3,5,B,7545623,830735
30,3,5,C,24916463,2790880
30,3,7,A,41981359,4729270
30,3,7,B,9358199,1033279
30,3,7,C,33395813,3745866
30,3,9,A,66789025,7559585
30,3,9,B,15704264,1747819
30,3,9,C,36007629,4050123
30,5,1,A,20387018,2286734
30,5,1,B,10130640,1124230
30,5,1,C,21887469,2462277
30,5,3,A,28197590,3166891
30,5,3,B,12384451,1372731
30,5,3,C,29729436,3342771
30,5,5,A,39795670,4479884
30,5,5,B,12163751,1346079
30,5,5,C,35932302,4037457
30,5,7,A,54208964,6110886
30,5,7,B,12700025,1405553
30,5,7,C,46370283,5215666
30,5,9,A,78920315,8930367
30,5,9,B,17956871,1995728
30,5,9,C,37115350,4173965
30,7,1,A,36695826,4142242
30,7,1,B,11519047,1279431
30,7,1,C,38756491,4380565
30,7,3,A,43032342,4855397
30,7,3,B,10740689,1189397
30,7,3,C,45370113,5118758
30,7,5,A,53470077,6033670
30,7,5,B,17200244,1905933
30,7,5,C,50677018,5711053
30,7,7,A,69645665,7866993
30,7,7,B,14047708,1553264
30,7,7,C,66439541,7497827
30,7,9,A,94342513,10683309
30,7,9,B,20639427,2292345
30,7,9,C,46666949,5251741
30,9,1,A,63459016,7184259
30,9,1,B,13988738,1560927
30,9,1,C,56137011,6361130
30,9,3,A,70238890,7947510
30,9,3,B,16209042,1808009
30,9,3,C,66486254,7528116
30,9,5,A,81078540,9171235
30,9,5,B,20509798,2284141
30,9,5,C,68186006,7704301
30,9,7,A,97719732,11056934
30,9,7,B,20464803,2279135
30,9,7,C,78313902,8840927
30,9,9,A,122919033,13930604
30,9,9,B,25453475,2838436
30,9,9,C,58191531,6555774
35,1,1,A,3489899,378482
35,1,1,B,3074059,329888
35,1,1,C,15740386,1765714
35,1,3,A,13751226,1536713
35,1,3,B,3476037,374337
35,1,3,C,20281224,2273137
35,1,5,A,29770326,3349235
35,1,5,B,13834267,1544292
