gridSize,numBlueAgents,numRedAgents,flagPlacementType,block_jumps
45,1,5,A,5743139
45,1,5,B,2835549
45,1,5,C,8729345
45,1,7,A,9161589
45,1,7,B,4830720
45,1,7,C,11060992
45,1,9,A,14043445
45,1,9,B,6202153
45,1,9,C,11876548
45,3,1,A,2529362
45,3,1,B,1871458
45,3,1,C,6603994
45,3,3,A,4913256
45,3,3,B,3076900
45,3,3,C,13145855
45,3,5,A,7416344
45,3,5,B,3740329
45,3,5,C,12892955
45,3,7,A,10695204
45,3,7,B,5744415
45,3,7,C,14467797
45,3,9,A,15577060
45,3,9,B,7033382
45,3,9,C,13004533
45,5,1,A,5199122
45,5,1,B,3066150
45,5,1,C,5168823
45,5,3,A,7531756
45,5,3,B,4063999
45,5,3,C,18012280
45,5,5,A,9961434
45,5,5,B,5106035
45,5,5,C,9496227
45,5,7,A,13171428
45,5,7,B,7051482
45,5,7,C,14822666
45,5,9,A,18053284
45,5,9,B,8230732
45,5,9,C,16057012
45,7,1,A,9259605
45,7,1,B,4234036
45,7,1,C,11065424
45,7,3,A,11441323
45,7,3,B,5023152
45,7,3,C,14596891
45,7,5,A,13751126
45,7,5,B,6113168
45,7,5,C,18141107
45,7,7,A,17233931
45,7,7,B,8020349
45,7,7,C,21901572
45,7,9,A,22115787
45,7,9,B,9258495
45,7,9,C,19355740
45,9,1,A,15259352
45,9,1,B,6162179
45,9,1,C,10563143
45,9,3,A,17349590
45,9,3,B,6875716
45,9,3,C,12188393
45,9,5,A,19586713
45,9,5,B,7973514
45,9,5,C,13936551
45,9,7,A,23218104
45,9,7,B,9854558
45,9,7,C,19559478
45,9,9,A,28100268
45,9,9,B,11112777
45,9,9,C,27924586
50,1,1,A,900857
50,1,1,B,1131267
50,1,1,C,5842559
50,1,3,A,3019176
50,1,3,B,1340401
50,1,3,C,8655714
50,1,5,A,5468549
50,1,5,B,2061706
50,1,5,C,13700022
50,1,7,A,9018391
50,1,7,B,3046463
50,1,7,C,7669905
50,1,9,A,15157303
50,1,9,B,4269990
50,1,9,C,12343701
50,3,1,A,2769478
50,3,1,B,1742754
50,3,1,C,8421470
50,3,3,A,4792712
50,3,3,B,2357545
50,3,3,C,11029826
50,3,5,A,7304965
50,3,5,B,2960205
50,3,5,C,19717645
50,3,7,A,10803524
50,3,7,B,3979714
50,3,7,C,9132618
50,3,9,A,16942436
50,3,9,B,5239597
50,3,9,C,14138049
50,5,1,A,5815362
50,5,1,B,2669456
50,5,1,C,21915144
50,5,3,A,7645285
50,5,3,B,3352788
50,5,3,C,27883586
50,5,5,A,10386151
50,5,5,B,4062689
50,5,5,C,27767201
50,5,7,A,13834556
50,5,7,B,4986711
50,5,7,C,11436285
50,5,9,A,19973468
50,5,9,B,6260731
50,5,9,C,15865540
50,7,1,A,10358713
50,7,1,B,4253129
50,7,1,C,8099623
50,7,3,A,12089366
50,7,3,B,4869474
50,7,3,C,9705153
50,7,5,A,14757817
50,7,5,B,5720916
50,7,5,C,11846605
50,7,7,A,18471257
50,7,7,B,6746863
50,7,7,C,14278762
50,7,9,A,24634058
50,7,9,B,7831827
50,7,9,C,18029034
50,9,1,A,16173909
50,9,1,B,6268882
50,9,1,C,11401629
50,9,3,A,17852351
50,9,3,B,7094521
50,9,3,C,12996017
50,9,5,A,20430293
50,9,5,B,7562892
50,9,5,C,15081548
50,9,7,A,24037544
50,9,7,B,8716944
50,9,7,C,17691146
50,9,9,A,30076126
50,9,9,B,9635633
50,9,9,C,21477161
